,name,current_rating,peak_rating,current_streak,best_streak
1340,Kelly Faszholz,1194.5657928008245,1194.5657928008245,-2,0
881,Kelvin Gastelum,1963.3762148018911,2222.8649741156773,-1,5
90,Ken Shamrock,1563.2030044798726,1774.0930426533641,-3,1
665,Ken Stone,1541.52636719603,1617.584781512162,-1,2
220,Kendall Grove,1599.119079175507,1903.634487634543,-2,3
21,Kenichi Yamamoto,1360.3599892988498,1360.3599892988498,-1,0
1714,Kennedy Nzechukwu,1780.1100864140137,1792.4506855013744,2,3
151,Kenny Florian,1935.2967069438434,2076.6106060741213,-1,6
622,Kenny Robertson,1758.4750686805878,1802.1327250652603,-2,3
190,Kerry Schall,1360.3599892988498,1360.3599892988498,-1,0
2201,Ketlen Souza,1649.9397982259843,1703.5905168414874,-1,2
1410,Ketlen Vieira,1895.9100109568337,1895.9100109568337,1,4
1667,Kevin Aguilar,1596.2848173473399,2013.2293013235342,-4,2
2252,Kevin Borjas,1489.6520790767436,1489.6520790767436,1,1
392,Kevin Burns,1423.55251272014,1895.0172419267044,-3,2
890,Kevin Casey,1459.6528190101578,1640.9488845370638,-2,1
1960,Kevin Croom,1254.0295026567824,1340.8877234579327,-3,0
517,Kevin Ferguson,1575.5521824602833,1730.9428829640685,-1,1
1627,Kevin Holland,1966.0934035280316,1985.8374634919253,2,5
163,Kevin Jordan,1260.7677618335074,1413.6740257291979,-2,0
2235,Kevin Jousset,1615.478430785234,1878.7359614414654,-2,2
1010,Kevin Lee,1854.8241584444604,2089.8550441340485,-3,5
1928,Kevin Natividad,1253.5639587221622,1313.8915922828874,-3,0
7,Kevin Randleman,1478.2079079438438,1478.2079079438438,1,1
2387,Kevin Vallejos,1768.5530783458519,1768.5530783458519,1,1
738,Khabib Nurmagomedov,2519.106496841384,2519.106496841384,13,13
1776,Khadis Ibragimov,1157.306627837993,1360.3599892988498,-4,0
1631,Khalid Murtazaliev,1969.8045231510628,1969.8045231510628,1,1
1625,Khalid Taha,1256.2236271889267,1578.562711553417,-3,1
1371,Khalil Rountree Jr.,2044.1811481485915,2044.1811481485915,1,5
1768,Khama Worthy,1450.8641187095377,2006.1486513887255,-3,2
1867,Khamzat Chimaev,2365.8050160334587,2365.8050160334587,8,8
1827,Khaos Williams,1832.4036930155075,2086.7637215949317,-2,2
2164,Khusein Askhabov,1313.232291608922,1313.232291608922,-1,0
2239,Kiefer Crosbie,1258.9042137890187,1360.3599892988498,-2,0
990,Kiichi Kunimoto,1633.808786297971,1777.993243386637,-2,3
102,Kimo Leopoldo,1487.0947736434644,1621.947767248136,-1,1
854,King Green,1857.547144892077,2149.6540658194926,-2,4
2357,Kiru Sahota,1360.3599892988498,1360.3599892988498,-1,0
191,Kit Cope,1331.2653317306474,1331.2653317306474,-1,0
2350,Klaudia Sygula,1590.2172579386677,1590.2172579386677,1,1
2081,Kleydson Rodrigues,1364.8212798315649,1508.561830956219,-2,1
1703,Klidson Abreu,1521.6341560710528,1594.3602475437442,-1,1
2378,Kody Steele,1208.7212954108008,1208.7212954108008,-1,0
161,Koji Oishi,1397.7617291593613,1397.7617291593613,-1,0
1224,Konstantin Erokhin,1226.8652009248688,1274.540509464592,-2,0
558,Kris McCray,1316.483216246762,1360.3599892988498,-3,0
1994,Kris Moutinho,1197.2275940701804,1427.6029353743918,-3,0
235,Kristian Rothaermel,1271.3095588516887,1271.3095588516887,-1,0
246,Kristof Midoux,1360.3599892988498,1360.3599892988498,-1,0
1700,Kron Gracie,1484.6713651211367,1842.2184701327246,-3,1
981,Krzysztof Jotko,1865.0256293213856,1917.4276561145884,-1,5
435,Krzysztof Soszynski,1607.8726869009438,1860.467591906543,-1,3
270,Kuniyoshi Hironaka,1439.9671159296424,1639.0919883267002,-2,1
902,Kurt Holobaugh,1354.4694807765359,1485.7579944413053,-2,1
238,Kurt Pellegrino,1785.9159575695505,1865.9956494349835,-2,4
1422,Kwan Ho Kwak,1201.0160736501143,1360.3599892988498,-2,0
1328,Kyle Bochniak,1383.1159864582685,1549.009098137599,-3,1
378,Kyle Bradley,1282.2824564440043,1380.4213094594554,-1,1
1859,Kyle Daukaus,1524.2191117569566,1714.9433017065096,-2,1
447,Kyle Kingsbury,1475.68173824278,1808.697542373885,-4,4
